tweet_id retweet_count favorite_count
873580283840344065 3840 23631
873337748698140672 1547 0
873213775632977920 1547 7054
872967104147763200 5281 26674
872820683541237760 3615 14386
872620804844003328 3607 20310
872486979161796608 8821 39776
872122724285648897 7956 33615
871879754684805121 10911 37086
871762521631449091 3410 19833
871515927908634625 3386 19771
871166179821445120 5585 0
871102520638267392 5408 20504
871032628920680449 3746 22213
870804317367881728 6082 32956
870726314365509632 3 116
870656317836468226 2596 12157
870374049280663552 25794 81172
870308999962521604 4083 21433
870063196459192321 8201 35937
869772420881756160 9881 41679
869702957897576449 6249 27744
869596645499047938 3090 15715
869227993411051520 3744 20123
868880397819494401 14283 64476
868639477480148993 2060 0
868622495443632128 5232 26299
868552278524837888 2060 9967
867900495410671616 4129 23827
867774946302451713 7266 33486
867421006826221569 2473 15897
867072653475098625 119 0
867051520902168576 7787 31817
866720684873056260 4766 19799
866686824827068416 3449 19022
866450705531457537 35021 120690
866334964761202691 14315 51874
866094527597207552 8303 0
865718153858494464 5584 25345
865359393868664832 4972 26154
865006731092295680 7644 27703
864873206498414592 8668 31938
864279568663928832 3009 14466
864197398364647424 8889 29830
863907417377173506 4122 20425
863553081350529029 4168 15164
863471782782697472 2436 0
863432100342583297 5222 23610
863427515083354112 96 2231
863079547188785154 1100 8699
863062471531167744 2436 8441
862831371563274240 5101 19018
862722525377298433 3522 16931
862457590147678208 4954 20360
862096992088072192 23254 73900
861383897657036800 10710 35895
861288531465048066 4164 17085
861005113778896900 3803 16610
860981674716409858 2167 0
860924035999428608 818 0
860563773140209665 2167 7471
860524505164394496 5302 23513
860276583193509888 3489 18247
860184849394610176 5880 16621
860177593139703809 31018 0
859924526012018688 4102 19491
859851578198683649 3532 15369
859607811541651456 1581 18545
859196978902773760 30393 89645
859074603037188101 13715 33808
858860390427611136 8203 0
858843525470990336 3513 15535
858471635011153920 4877 21509
858107933456039936 2922 15718
857989990357356544 2609 16138
857746408056729600 10756 34271
857393404942143489 1661 5905
857263160327368704 4566 20053
857214891891077121 18 228
857062103051644929 173 0
857029823797047296 4060 18969
856543823941562368 2925 16310
856526610513747968 1914 11875
856330835276025856 688 0
856288084350160898 17 521
856282028240666624 6433 27844
855862651834028034 26 347
855860136149123072 1044 5042
855857698524602368 2150 11927
855851453814013952 18073 45768
855818117272018944 5543 26774
855459453768019968 8370 30095
855245323840757760 6102 0
855138241867124737 46 0
854732716440526848 6241 23027
854482394044301312 7030 29572
854365224396361728 4797 19069
854120357044912130 7667 32308
854010172552949760 3226 16365
853760880890318849 5932 28925
853639147608842240 10411 35232
853299958564483072 3665 15727
852936405516943360 2067 0
852912242202992640 1889 9186
852672615818899456 2220 15150
852553447878664193 3617 16580
852311364735569921 10193 33644
852226086759018497 7000 20326
852189679701164033 1634 11644
851953902622658560 9945 0
851861385021730816 23 0
851591660324737024 3581 16505
851464819735769094 7323 24702
851224888060895234 5923 21062
850753642995093505 9597 31546
850380195714523136 2713 13331
850333567704068097 347 3511
850145622816686080 3959 16657
850019790995546112 5072 20869
849776966551130114 7887 31124
849668094696017920 5136 0
849412302885593088 3262 16229
849336543269576704 1961 11665
849051919805034497 8840 43390
848690551926992896 4488 25794
848324959059550208 4778 25343
848213670039564288 776 8368
848212111729840128 3192 16723
847978865427394560 3391 0
847971574464610304 443 0
847962785489326080 5304 24090
847842811428974592 1386 5597
847617282490613760 441 7173
847606175596138505 3547 19259
847251039262605312 4472 20991
847157206088847362 6102 20452
847116187444137987 3330 21984
846874817362120707 4094 20602
846514051647705089 12110 45825
846505985330044928 3210 14484
846153765933735936 9485 32558
846139713627017216 10354 31772
846042936437604353 3023 16447
845812042753855489 9130 30109
845677943972139009 4999 25871
845397057150107648 1888 7856
845306882940190720 5647 24016
845098359547420673 8014 0
844979544864018432 2698 14007
844973813909606400 3369 15553
844580511645339650 3287 16994
844223788422217728 2308 14035
843981021012017153 3073 15609
843856843873095681 4859 22096
843604394117681152 2891 17411
843235543001513987 6351 22212
842846295480000512 3790 15706
842765311967449089 1341 6967
842535590457499648 3690 18664
842163532590374912 6102 25258
842115215311396866 3193 14462
841833993020538882 16101 0
841680585030541313 8162 26507
841439858740625411 3878 13051
841320156043304961 5735 20440
841314665196081154 4933 16364
841077006473256960 5585 23649
840761248237133825 1847 0
840728873075638272 17002 0
840698636975636481 2 181
840696689258311684 1036 12711
840632337062862849 1847 9277
840370681858686976 4797 17031
840268004936019968 6042 19932
839990271299457024 2419 13882
839549326359670784 8203 28483
839290600511926273 148 0
839239871831150596 6899 28159
838952994649550848 4201 20318
838921590096166913 2185 11581
838916489579200512 36 0
838831947270979586 11675 0
838561493054533637 1397 11320
838476387338051585 5077 23387
838201503651401729 10659 0
838150277551247360 352 1744
838085839343206401 1 147
838083903487373313 3337 18270
837820167694528512 8303 35446
837482249356513284 464 3981
837471256429613056 2413 13260
837366284874571778 5614 21958
837110210464448512 2527 16632
836989968035819520 2431 13194
836753516572119041 4883 19998
836677758902222849 2353 13102
836648853927522308 577 0
836397794269200385 29326 0
836380477523124226 3146 15317
836260088725786625 4538 22088
836001077879255040 4540 19835
835685285446955009 8636 0
835574547218894849 3838 18503
835536468978302976 1806 0
835309094223372289 22287 0
835297930240217089 3182 17077
835264098648616962 1806 8027
835246439529840640 77 2176
835172783151792128 6089 27173
835152434251116546 3200 23351
834931633769889797 1749 11243
834786237630337024 5837 22049
834574053763584002 2688 14229
834477809192075265 11336 0
834458053273591808 1784 10000
834209720923721728 5078 21435
834167344700198914 3866 16402
834089966724603904 2258 10458
834086379323871233 2356 13596
833863086058651648 2546 13959
833826103416520705 3965 18744
833732339549220864 227 0
833722901757046785 3408 21570
833479644947025920 2187 15459
833124694597443584 5136 21040
832998151111966721 2356 13836
832769181346996225 39 0
832757312314028032 3852 17532
832682457690300417 3117 12362
832645525019123713 553 3042
832636094638288896 2961 16501
832397543355072512 2366 12425
832369877331693569 3391 17895
832273440279240704 2482 11781
832215909146226688 6592 0
832215726631055365 9974 0
832088576586297345 2 69
832040443403784192 10322 0
832032802820481025 4946 18595
831939777352105988 6527 25012
831926988323639298 35 357
831911600680497154 6942 28822
831670449226514432 1931 10904
831650051525054464 2067 7479
831552930092285952 2447 9367
831322785565769729 1632 9625
831315979191906304 1191 6814
831309418084069378 2611 12243
831262627380748289 2185 12424
830956169170665475 1589 8313
830583320585068544 17927 69773
830173239259324417 6076 0
830097400375152640 3197 10251
829878982036299777 5362 0
829861396166877184 2089 12774
829501995190984704 11336 33136
829449946868879360 2159 10926
829374341691346946 9945 36127
829141528400556032 7908 25564
829011960981237760 17328 55369
828801551087042563 3622 0
828770345708580865 6258 26689
828708714936930305 11995 38218
828650029636317184 1438 9919
828409743546925057 1226 6588
828408677031882754 1374 8011
828381636999917570 2377 13194
828376505180889089 1138 7713
828372645993398273 3158 13113
828361771580813312 181 2293
828046555563323392 3060 12298
828011680017821696 2292 10832
827933404142436356 5588 21036
827653905312006145 3213 16130
827600520311402496 1016 7735
827324948884643840 3266 16591
827199976799354881 2399 11060
826958653328592898 5362 22580
826848821049180160 10941 38144
826615380357632002 4232 0
826598799820865537 270 5354
826598365270007810 2513 10546
826476773533745153 4492 19304
826240494070030336 2774 13883
826204788643753985 998 5100
826115272272650244 3357 16396
825876512159186944 2004 10964
825829644528148480 2669 13331
825535076884762624 18434 54596
825147591692263424 4897 19181
825120256414846976 1366 0
825026590719483904 1366 6649
824796380199809024 5888 0
824775126675836928 3770 15689
824663926340194305 1854 10572
824325613288833024 11146 12366
824297048279236611 4148 15796
824025158776213504 631 5009
823939628516474880 2904 11160
823719002937630720 12039 0
823699002998870016 2588 13216
823581115634085888 2838 13667
823333489516937216 27 733
823322678127919110 4315 16523
823269594223824897 10576 0
822975315408461824 3697 18159
822872901745569793 47116 138822
822859134160621569 2455 13895
822647212903690241 6882 0
822610361945911296 3182 15524
822489057087389700 6882 19082
822462944365645825 15723 29843
822244816520155136 10576 36783
822163064745328640 5156 0
821886076407029760 2514 11911
821813639212650496 3597 0
821765923262631936 1782 8842
821522889702862852 1906 8436
821421320206483457 6021 0
821407182352777218 4669 12383
821153421864615936 10 266
821149554670182400 2164 9148
821107785811234820 2288 10079
821044531881721856 2464 13308
820837357901512704 7213 0
820749716845686786 10659 33156
820690176645140481 3466 12827
820494788566847489 607 0
820446719150292993 2778 0
820314633777061888 607 3505
820078625395449857 6768 20849
820013781606658049 1274 0
819952236453363712 1274 5595
819924195358416896 5205 13541
819711362133872643 3368 14163
819588359383371776 2122 10088
819347104292290561 1297 7600
819238181065359361 436 2411
819227688460238848 7213 24294
819015337530290176 39645 0
819015331746349057 20425 0
819006400881917954 20425 47581
819004803107983360 39645 91252
818646164899774465 22498 0
818627210458333184 8048 23378
818614493328580609 2781 10376
818588835076603904 6621 0
818536468981415936 2671 11493
818307523543449600 8766 0
818259473185828864 2461 11605
818145370475810820 2796 12937
817908911860748288 850 5106
817827839487737858 29326 54545
817777686764523521 2888 11281
817536400337801217 3280 12421
817502432452313088 3658 0
817423860136083457 16101 35965
817415592588222464 1039 5906
817181837579653120 9160 0
817171292965273600 2172 9208
817120970343411712 2824 12844
817056546584727552 1776 9044
816829038950027264 5079 0
816816676327063552 2190 10571
816697700272001025 2379 10336
816450570814898180 8766 32203
816336735214911488 2114 9073
816091915477250048 2331 9435
816062466425819140 1125 0
816014286006976512 5731 0
815990720817401858 1125 5265
